date,open,high,low,close,adj_close,volume
2022-02-08,395.68,396.84,390.60,396.04,396.04,1310900
2022-02-07,392.00,395.58,388.30,392.34,392.34,1243000
2022-02-04,388.00,392.84,385.32,389.33,389.33,1645300
2022-02-03,388.18,392.17,386.39,389.70,389.70,1649000
2022-02-02,386.11,388.35,385.01,387.34,387.34,1620600
2022-02-01,390.22,390.51,386.21,387.01,387.01,1951100
2022-01-31,390.50,390.99,384.68,389.13,389.13,2363400
2022-01-28,389.10,393.33,384.78,393.15,393.15,2145100
2022-01-27,389.39,395.60,384.74,389.08,389.08,2566200
2022-01-26,388.00,393.63,383.70,391.24,391.24,3640500
2022-01-25,377.85,388.00,370.78,387.17,387.17,3182400
2022-01-24,369.55,374.54,365.34,373.33,373.33,3022300
2022-01-21,374.00,377.10,369.68,371.20,371.20,2795400
2022-01-20,377.01,381.15,374.01,375.13,375.13,2109100
2022-01-19,375.50,381.45,374.18,377.33,377.33,3336700
2022-01-18,370.45,377.36,368.86,376.54,376.54,2471600
2022-01-14,365.18,372.99,363.97,372.62,372.62,2164500
2022-01-13,362.06,367.36,360.12,365.18,365.18,1244000
2022-01-12,363.38,366.16,359.45,361.30,361.30,1477100
2022-01-11,364.01,365.04,361.27,364.14,364.14,1128000
2022-01-10,363.00,369.46,361.41,363.25,363.25,2389900
2022-01-07,359.08,362.99,358.15,360.14,360.14,1634300
2022-01-06,360.00,361.24,357.55,358.00,358.00,1368800
2022-01-05,363.00,364.00,357.87,358.14,358.14,1682200
2022-01-04,355.53,363.54,355.21,361.99,361.99,1361100
2022-01-03,354.68,356.59,353.03,354.36,354.36,1205700
2021-12-31,353.17,357.06,351.56,355.41,355.41,887200
2021-12-30,355.00,357.83,353.51,353.58,353.58,778500
2021-12-29,353.44,355.50,352.69,354.27,354.27,771700
2021-12-28,350.06,355.17,349.51,353.75,353.75,827500
2021-12-27,347.10,350.81,347.00,350.28,350.28,965900
2021-12-23,343.78,348.32,343.78,347.02,347.02,1061200
2021-12-22,341.16,344.35,341.03,343.14,343.14,1311400
2021-12-21,338.77,343.38,338.65,340.77,340.77,2352400
2021-12-20,341.00,341.19,333.42,337.42,337.42,2315400
2021-12-17,345.55,347.16,342.92,344.14,344.14,2749500
2021-12-16,345.67,347.96,343.67,344.84,344.84,1185900
2021-12-15,345.39,345.64,340.00,344.42,344.42,1208900
2021-12-14,343.75,348.40,343.75,345.64,345.64,1786000
2021-12-13,344.40,346.80,341.51,345.55,345.55,1740700
2021-12-10,345.84,347.24,344.60,344.88,344.88,1180400
2021-12-09,339.94,345.11,338.27,343.60,343.60,1591500
2021-12-08,339.71,342.38,339.02,341.08,341.08,1376900
2021-12-07,340.00,342.11,338.80,339.17,339.17,1540700
2021-12-06,337.25,342.41,337.25,339.96,339.96,1946900
2021-12-03,331.35,334.38,330.34,333.81,333.81,1603200
2021-12-02,330.00,333.91,328.33,330.53,330.53,1804100
2021-12-01,335.00,335.95,328.20,328.42,328.42,2248300
2021-11-30,337.20,338.36,333.03,333.32,333.32,2763200
2021-11-29,344.00,344.60,339.20,341.23,338.43,1492300
2021-11-26,339.29,343.23,338.08,342.72,339.91,1079900
2021-11-24,344.86,347.00,343.05,343.58,340.76,1134500
2021-11-23,344.98,348.09,344.67,345.18,342.35,1212700
2021-11-22,341.73,347.59,341.48,344.98,342.15,1229400
2021-11-19,340.88,343.00,339.35,341.44,338.64,1426500
2021-11-18,342.72,343.11,340.21,342.08,339.27,1431300
2021-11-17,339.48,343.55,339.48,341.99,339.18,1751000
2021-11-16,341.89,343.64,339.76,340.37,337.58,1307500
2021-11-15,339.55,341.65,339.43,340.92,338.12,1068600
2021-11-12,335.62,340.39,335.03,339.06,336.28,1097400
2021-11-11,337.14,337.21,333.30,335.89,333.13,1216500
2021-11-10,338.77,340.70,337.50,337.63,334.86,1268700
2021-11-09,341.38,342.00,337.10,338.17,335.40,1769200
2021-11-08,341.63,343.02,337.58,341.78,338.98,1733000
2021-11-05,336.95,340.52,336.35,339.89,337.10,2144600
2021-11-04,331.30,335.74,331.30,335.50,332.75,1847900
2021-11-03,325.50,333.10,324.23,331.35,328.63,1902600
2021-11-02,331.45,332.04,325.31,326.31,323.63,2745000
2021-11-01,330.47,334.20,330.07,330.93,328.21,1865000
2021-10-29,330.00,334.36,328.84,332.32,329.59,1818900
2021-10-28,330.00,334.86,325.14,331.39,328.67,2874600
2021-10-27,333.00,336.43,330.54,330.94,328.22,2822900
2021-10-26,348.33,351.20,326.00,331.91,329.19,9439700
2021-10-25,375.91,378.10,374.61,376.33,373.24,1350300
2021-10-22,373.93,377.02,372.25,374.60,371.53,1092000
2021-10-21,371.63,373.26,367.14,373.14,370.08,803600
2021-10-20,371.78,372.57,369.80,371.13,368.08,955200
2021-10-19,366.50,371.18,363.65,371.07,368.03,1051300
2021-10-18,364.33,367.88,361.88,365.00,362.00,1014600
2021-10-15,364.10,366.24,363.51,365.62,362.62,952700
2021-10-14,362.02,364.16,360.36,362.07,359.10,973300
2021-10-13,359.62,362.39,353.45,361.76,358.79,1102100
2021-10-12,356.98,360.38,356.01,358.12,355.18,840200
2021-10-11,354.90,359.33,354.12,357.08,354.15,996800
2021-10-08,352.08,355.16,350.80,353.75,350.85,767900
2021-10-07,350.17,354.48,350.17,351.78,348.89,1042600
2021-10-06,347.03,350.14,344.20,349.99,347.12,995700
2021-10-05,346.00,350.45,344.82,347.75,344.90,889400
2021-10-04,347.69,350.27,343.70,345.99,343.15,1127400
2021-10-01,347.31,349.68,342.77,347.80,344.95,960400
2021-09-30,351.53,352.30,344.90,345.10,342.27,1054300
2021-09-29,348.13,352.58,344.97,350.29,347.42,1547700
2021-09-28,353.36,355.31,349.92,352.15,349.26,1140100
2021-09-27,352.14,357.24,351.32,353.36,350.46,1866000
2021-09-24,348.97,352.94,347.51,349.52,346.65,1693000
2021-09-23,340.29,344.78,340.11,344.20,341.38,1366200
2021-09-22,338.14,343.20,338.02,341.73,338.93,1335900
2021-09-21,338.74,340.07,335.10,336.05,333.29,1317000
2021-09-20,338.70,340.65,335.89,338.46,335.68,1709800
2021-09-17,339.95,342.81,339.15,340.98,338.18,2108000
2021-09-16,345.48,345.94,340.75,341.50,338.70,1451400
2021-09-15,344.80,346.93,343.91,345.07,342.24,1149700
2021-09-14,348.00,348.30,342.48,344.34,341.51,1325600
2021-09-13,347.91,349.28,342.75,346.31,343.47,1489200
2021-09-10,349.44,350.08,345.82,345.88,343.04,1221600
2021-09-09,350.51,351.70,347.86,348.93,346.07,1098900
2021-09-08,350.39,353.58,349.46,351.46,348.58,1215300
2021-09-07,354.72,354.72,349.07,349.20,346.33,2033500
2021-09-03,358.05,358.27,355.63,356.00,353.08,893200
2021-09-02,356.81,358.74,355.52,358.05,355.11,2071500
2021-09-01,358.30,359.51,356.54,356.66,353.73,1116000
2021-08-31,359.40,360.85,358.10,359.80,356.85,1083900
2021-08-30,362.25,363.96,361.75,362.05,356.50,986000
2021-08-27,363.29,364.33,361.18,361.99,356.44,1203500
2021-08-26,359.10,361.98,357.24,361.62,356.08,1172400
2021-08-25,359.69,360.65,357.99,358.75,353.25,953500
2021-08-24,358.97,360.49,357.92,359.00,353.50,822600
2021-08-23,357.94,359.07,356.41,357.35,351.87,827800
2021-08-20,354.74,358.81,353.57,357.17,351.70,904300
2021-08-19,355.23,359.90,353.57,354.03,348.60,1345700
2021-08-18,359.50,360.50,356.56,356.60,351.13,961000
2021-08-17,359.05,362.53,358.67,361.60,356.06,1571000
2021-08-16,357.98,360.51,355.56,360.25,354.73,1625700
2021-08-13,360.25,361.07,357.51,357.98,352.49,1222200
2021-08-12,362.33,364.30,358.80,359.75,354.24,1005400
2021-08-11,362.45,364.35,361.00,363.30,357.73,900100
2021-08-10,360.19,363.06,360.10,362.24,356.69,842100
2021-08-09,360.70,362.42,359.78,361.04,355.51,945100
2021-08-06,362.30,363.46,360.56,362.05,356.50,704500
2021-08-05,362.44,363.02,359.88,360.78,355.25,912600
2021-08-04,364.49,365.36,359.61,361.64,356.10,1608100
2021-08-03,369.38,369.91,366.00,369.45,363.79,872900
2021-08-02,372.30,375.04,368.08,368.30,362.65,1176500
2021-07-30,372.07,373.64,370.11,371.67,365.97,798600
2021-07-29,374.85,375.86,371.35,372.60,366.89,754800
2021-07-28,376.00,376.24,370.59,372.81,367.10,775200
2021-07-27,368.25,375.55,368.25,374.73,368.99,1460600
2021-07-26,373.00,374.36,366.40,368.05,362.41,2720700
2021-07-23,381.97,382.50,380.19,380.77,374.93,795900
2021-07-22,380.75,381.55,377.83,379.93,374.11,688400
2021-07-21,379.98,384.70,379.40,380.89,375.05,922800
2021-07-20,373.01,380.64,373.00,379.98,374.16,1268000
2021-07-19,375.15,376.82,367.56,372.02,366.32,1357600
2021-07-16,378.62,379.72,375.28,377.14,371.36,890800
2021-07-15,375.12,378.65,375.00,378.25,372.45,713400
2021-07-14,377.84,378.39,375.21,376.82,371.04,698900
2021-07-13,379.00,380.69,377.54,377.84,372.05,709500
2021-07-12,381.90,383.32,376.23,379.07,373.26,1008200
2021-07-09,382.70,384.39,380.77,383.11,377.24,542900
2021-07-08,379.53,381.69,377.93,379.92,374.10,894500
2021-07-07,378.41,384.60,377.41,383.48,377.60,952900
2021-07-06,380.00,380.34,373.68,378.67,372.87,1142700
2021-07-02,381.75,383.19,378.95,381.49,375.64,778700
2021-07-01,377.31,381.12,377.22,380.22,374.39,752800
2021-06-30,374.50,379.44,373.62,378.35,372.55,1077600
2021-06-29,379.88,380.40,373.25,373.42,367.70,1223900
2021-06-28,381.67,382.73,378.82,380.07,374.24,778200
2021-06-25,376.89,383.42,376.89,382.01,376.15,1708100
2021-06-24,379.52,379.99,376.85,377.73,371.94,1032700
2021-06-23,382.21,382.51,377.26,377.33,371.55,1024000
2021-06-22,381.54,383.88,379.65,382.48,376.62,636200
2021-06-21,381.23,385.44,380.61,382.50,376.64,1186900
2021-06-18,380.17,382.10,379.00,379.19,373.38,2416200
2021-06-17,384.28,385.52,379.57,382.90,377.03,1246400
2021-06-16,390.81,391.00,383.20,383.60,377.72,1524200
2021-06-15,390.00,392.05,389.06,389.80,383.83,943900
2021-06-14,387.61,389.46,385.88,389.11,383.15,868400
2021-06-11,388.78,389.15,385.17,387.72,381.78,751000
2021-06-10,389.14,389.74,386.09,387.72,381.78,913700
2021-06-09,389.27,389.27,385.12,386.80,380.87,1046100
2021-06-08,391.51,392.66,387.07,388.53,382.57,1065000
2021-06-07,395.04,395.72,389.61,391.51,385.51,1087900
2021-06-04,388.00,395.52,387.61,394.10,388.06,1836100
2021-06-03,383.76,387.54,383.10,387.35,381.41,1649700
2021-06-02,382.01,385.50,380.63,385.09,379.19,1007600
2021-06-01,384.23,384.43,381.13,381.92,376.07,962200
2021-05-28,384.70,386.00,381.52,382.20,376.34,935500
2021-05-27,387.40,387.95,384.28,387.39,378.89,3979300
2021-05-26,385.57,386.07,382.21,384.13,375.70,999500
2021-05-25,387.90,389.50,385.18,385.85,377.39,978500
2021-05-24,389.50,389.75,385.96,387.71,379.20,931400
2021-05-21,389.30,392.19,385.56,387.22,378.73,892500
2021-05-20,386.79,389.54,386.07,388.32,379.80,1094700
2021-05-19,385.00,385.73,381.35,385.54,377.08,995000
2021-05-18,391.27,394.17,387.08,387.22,378.73,1171800
2021-05-17,389.63,392.03,388.72,391.12,382.54,979100
2021-05-14,390.17,392.10,388.59,390.78,382.21,799800
2021-05-13,381.78,390.38,380.95,387.77,379.26,1105800
2021-05-12,387.97,390.35,380.20,380.62,372.27,1633700
2021-05-11,391.03,391.68,384.41,387.82,379.31,1353200
2021-05-10,391.36,396.99,391.29,393.14,384.52,1578600
2021-05-07,387.00,392.60,385.89,390.34,381.78,1203700
2021-05-06,387.99,389.30,386.00,387.34,378.84,1079500
2021-05-05,386.34,387.48,381.71,386.37,377.89,1079300
2021-05-04,387.25,390.15,384.54,387.48,378.98,1509600
2021-05-03,379.77,386.39,379.06,385.31,376.86,1347400
2021-04-30,378.86,382.00,377.60,380.56,372.21,1103700
2021-04-29,375.00,381.98,374.84,380.35,372.01,1385600
2021-04-28,373.46,373.88,370.95,372.94,364.76,1110400
2021-04-27,371.50,374.24,370.14,373.22,365.03,1564900
2021-04-26,374.28,375.31,370.72,371.98,363.82,1518100
2021-04-23,378.59,378.59,373.32,377.29,369.01,1298000
2021-04-22,386.77,386.77,378.40,380.09,371.75,1670500
2021-04-21,387.52,390.89,384.95,387.24,378.75,1358500
2021-04-20,388.00,391.50,384.62,387.33,378.83,1370100
2021-04-19,392.00,392.39,386.62,391.73,383.14,1317600
2021-04-16,392.82,394.34,389.80,391.81,383.21,1499500
2021-04-15,388.67,392.00,387.70,390.63,382.06,1289400
2021-04-14,387.40,391.24,387.00,388.67,380.14,1078800
2021-04-13,386.56,388.20,384.34,387.11,378.62,1124300
2021-04-12,387.13,388.71,384.29,387.85,379.34,1067400
2021-04-09,386.88,390.26,383.66,386.23,377.76,1400900
2021-04-08,379.60,387.42,378.31,386.02,377.55,1863400
2021-04-07,378.74,380.40,376.07,380.19,371.85,976900
2021-04-06,376.51,380.10,376.32,378.97,370.66,1035700
2021-04-05,372.06,380.40,372.06,378.75,370.44,1489300
2021-04-01,368.99,372.99,368.34,371.02,362.88,1261600
2021-03-31,370.75,372.61,367.38,369.50,361.39,1375500
2021-03-30,373.25,374.13,368.61,370.54,362.41,1518600
2021-03-29,365.00,374.24,365.00,372.79,364.61,2245500
2021-03-26,362.31,365.25,359.75,364.71,356.71,2010500
2021-03-25,354.77,361.79,354.22,361.22,353.30,1598100
2021-03-24,354.99,362.68,354.99,356.12,348.31,1592300
2021-03-23,357.11,359.25,352.67,353.61,345.85,1474600
2021-03-22,352.00,358.37,352.00,357.66,349.81,2190900
2021-03-19,359.43,359.43,350.10,355.07,347.28,5739100
2021-03-18,353.87,359.00,352.54,358.45,350.59,2272200
2021-03-17,347.83,355.55,347.13,351.02,343.32,2083000
2021-03-16,346.51,349.00,342.30,347.13,339.52,1687700
2021-03-15,344.38,346.64,342.60,346.41,338.81,2055800
2021-03-12,339.64,343.65,338.62,340.19,332.73,2151900
2021-03-11,341.00,343.63,338.46,339.73,332.28,1673500
2021-03-10,339.41,343.19,335.69,340.84,333.36,1760100
2021-03-09,341.41,342.85,337.27,337.50,330.10,1448800
2021-03-08,343.50,346.06,338.44,341.45,333.96,1599100
2021-03-05,338.47,341.17,335.13,340.43,332.96,1451300
2021-03-04,340.48,344.35,334.15,338.25,330.83,2196700
2021-03-03,339.61,346.33,338.59,340.91,333.43,4052300
2021-03-02,333.27,340.01,332.67,338.59,331.16,2076300
2021-03-01,334.00,337.72,332.82,333.47,326.15,1654500
2021-02-26,338.00,338.76,330.00,330.25,323.01,2024000
2021-02-25,345.80,349.10,340.67,341.69,331.65,1568000
2021-02-24,347.28,350.30,344.61,346.53,336.35,2068700
2021-02-23,345.13,347.47,338.33,346.23,336.06,2400000
2021-02-22,333.80,343.56,333.21,340.47,330.47,1657200
2021-02-19,339.07,339.09,335.25,335.42,325.57,1849200
2021-02-18,336.88,339.58,335.28,337.92,327.99,1296200
2021-02-17,334.70,339.27,332.79,337.00,327.10,2010900
2021-02-16,339.25,340.00,333.82,335.03,325.19,1668400
2021-02-12,338.40,340.64,336.56,337.73,327.81,1207300
2021-02-11,340.78,344.61,338.03,339.14,329.18,1181600
2021-02-10,343.22,343.74,339.15,342.19,332.14,1728900
2021-02-09,338.54,344.51,336.57,342.34,332.28,1677500
2021-02-08,339.01,339.50,335.20,337.84,327.91,1549900
2021-02-05,339.59,341.42,336.50,337.04,327.14,1454700
2021-02-04,333.99,338.42,332.18,337.23,327.32,2174100
2021-02-03,331.68,333.40,328.30,332.39,322.62,2683100
2021-02-02,327.43,335.20,326.69,332.70,322.93,2065400
2021-02-01,324.88,325.65,319.81,324.03,314.51,1615500
2021-01-29,327.10,328.98,321.72,321.82,312.37,2101100
2021-01-28,332.14,334.68,327.18,327.93,318.30,1837800
2021-01-27,332.28,335.73,329.67,332.51,322.74,2666300
2021-01-26,339.00,343.98,330.69,330.69,320.97,3542400
2021-01-25,339.36,346.89,337.90,343.51,333.42,1976600
2021-01-22,338.74,341.84,337.21,339.88,329.89,1557600
2021-01-21,341.67,343.61,338.96,339.67,329.69,1661800
2021-01-20,342.54,343.78,339.22,341.67,331.63,1780000
2021-01-19,350.74,350.97,341.48,341.50,331.47,2017200
2021-01-15,347.09,350.50,344.28,347.27,337.07,1853100
2021-01-14,348.00,354.79,346.85,347.44,337.23,1965600
2021-01-13,341.41,347.20,339.17,345.49,335.34,1648100
2021-01-12,336.52,343.37,335.63,341.85,331.81,3002200
2021-01-11,335.00,339.00,333.32,337.68,327.76,3196400
2021-01-08,341.88,343.47,335.01,336.10,326.23,3226300
2021-01-07,344.36,347.85,341.34,342.55,332.49,2048900
2021-01-06,343.00,351.92,342.78,348.03,337.81,1897500
2021-01-05,344.64,351.19,343.30,348.79,338.54,1479100
2021-01-04,354.98,354.98,341.07,344.64,334.51,1887200
2020-12-31,353.82,356.03,352.23,354.98,344.55,1318500
2020-12-30,353.00,356.61,353.00,354.16,343.76,840800
2020-12-29,356.00,357.35,351.80,353.90,343.50,1055900
2020-12-28,353.11,357.82,351.71,354.18,343.77,1023400
2020-12-24,352.83,354.06,350.40,351.97,341.63,508800
2020-12-23,349.95,355.00,349.40,351.60,341.27,1307500
2020-12-22,349.35,350.62,347.39,347.92,337.70,1820800
2020-12-21,353.16,353.94,346.60,349.35,339.09,2128700
2020-12-18,352.04,356.79,350.01,356.03,345.57,4342000
2020-12-17,355.93,357.66,351.88,352.60,342.24,1658100
2020-12-16,357.25,357.90,353.65,354.57,344.15,1986200
2020-12-15,358.73,359.89,355.45,357.57,347.06,1521000
2020-12-14,363.50,365.62,357.44,357.66,347.15,1370500
2020-12-11,354.55,363.12,354.19,361.71,351.08,1409800
2020-12-10,359.52,364.22,355.20,355.39,344.95,1378700
2020-12-09,359.85,362.59,356.95,361.35,350.73,1522200
2020-12-08,360.98,363.17,358.84,359.23,348.68,1783600
2020-12-07,366.90,366.90,360.54,362.13,351.49,1390500
2020-12-04,363.12,367.73,362.11,366.61,355.84,1222600
2020-12-03,362.12,369.50,360.96,362.03,351.39,1758400
2020-12-02,364.99,365.99,360.01,361.36,350.74,2520000
2020-12-01,368.47,373.29,364.87,364.99,354.27,1299700
2020-11-30,370.79,372.44,363.39,365.00,354.28,1608400
2020-11-27,378.81,378.81,373.45,374.34,360.82,612300
2020-11-25,377.09,381.95,376.23,378.34,364.67,854800
2020-11-24,375.28,378.48,373.06,378.48,364.81,959000
2020-11-23,371.54,374.53,369.86,370.85,357.45,929200
2020-11-20,375.97,377.24,367.62,368.02,354.73,1117500
2020-11-19,375.00,377.75,372.17,376.46,362.86,1075400
2020-11-18,377.49,383.47,376.24,377.56,363.92,1066800
2020-11-17,375.66,380.48,375.25,375.90,362.32,1321100
2020-11-16,378.05,380.69,376.08,377.13,363.51,1306700
2020-11-13,370.57,376.00,369.23,375.14,361.59,921000
2020-11-12,367.50,370.57,365.51,367.89,354.60,856100
2020-11-11,372.87,373.33,365.68,369.28,355.94,1115200
2020-11-10,365.00,373.44,363.94,371.28,357.87,1708000
2020-11-09,379.60,381.52,363.73,363.95,350.80,1956900
2020-11-06,363.30,363.73,357.95,361.27,348.22,1401600
2020-11-05,374.55,376.50,363.77,364.70,351.53,1709300
2020-11-04,371.07,381.46,369.51,372.16,358.72,2146400
2020-11-03,357.13,366.20,356.21,363.44,350.31,1484600
2020-11-02,356.12,359.91,350.72,352.42,339.69,1707700
2020-10-30,350.64,353.73,345.65,350.13,337.48,1309800
2020-10-29,350.00,356.23,348.29,352.44,339.71,1548000
2020-10-28,356.87,360.00,350.45,350.86,338.19,1679900
2020-10-27,367.00,367.98,360.81,362.43,349.34,977400
2020-10-26,369.43,369.87,362.50,368.55,355.24,1387200
2020-10-23,371.34,376.19,369.01,374.33,360.81,1178800
2020-10-22,367.50,371.11,365.15,368.96,355.63,1255100
2020-10-21,372.21,375.00,365.00,367.14,353.88,1931200
2020-10-20,382.59,385.79,371.80,372.21,358.77,1779200
2020-10-19,387.24,389.60,381.67,383.71,369.85,1181000
2020-10-16,388.49,389.78,386.09,386.50,372.54,952100
2020-10-15,387.33,388.87,383.22,386.12,372.17,792000
2020-10-14,387.14,395.46,387.14,390.72,376.61,1090300
2020-10-13,386.14,390.56,385.12,388.95,374.90,973300
2020-10-12,386.00,390.51,383.26,388.92,374.87,807400
2020-10-09,388.41,390.10,385.29,385.93,371.99,675000
2020-10-08,383.90,389.19,382.28,388.59,374.55,694900
2020-10-07,378.60,383.84,378.56,382.94,369.11,826500
2020-10-06,386.03,386.11,376.02,376.46,362.86,954900
2020-10-05,383.24,385.89,378.86,383.96,370.09,825000
2020-10-02,376.00,383.48,374.28,380.58,366.83,1217200
2020-10-01,384.00,390.00,379.00,380.89,367.13,1103900
2020-09-30,389.47,389.76,380.51,383.28,369.44,1410300
2020-09-29,389.61,393.15,387.51,388.74,374.70,1113100
2020-09-28,390.00,396.61,389.65,390.51,376.40,980000
2020-09-25,377.45,388.40,376.45,386.70,372.73,1375400
2020-09-24,383.25,384.49,375.10,378.76,365.08,1295100
2020-09-23,389.23,394.43,381.99,383.24,369.40,1223300
2020-09-22,381.88,392.48,381.34,388.42,374.39,1286300
2020-09-21,388.50,389.87,377.23,379.61,365.90,1447400
2020-09-18,394.15,399.00,394.15,395.14,380.87,2636400
2020-09-17,392.00,398.55,389.54,395.94,381.64,959500
2020-09-16,391.11,399.60,390.93,395.58,381.29,1052200
2020-09-15,395.65,396.00,386.89,392.55,378.37,955700
2020-09-14,393.37,396.67,391.62,393.75,379.53,991000
2020-09-11,381.47,390.50,380.75,389.45,375.38,933800
2020-09-10,386.02,388.53,378.33,379.11,365.42,716000
2020-09-09,382.69,389.42,381.01,385.24,371.32,1218300
2020-09-08,383.99,385.29,378.36,380.23,366.50,1071600
2020-09-04,388.51,391.55,379.58,385.02,371.11,933600
